n,(n * (n - 1)) / 2,n * n,comparison,swaps
590,173755,348100,88272,87684
591,174345,349281,90420,89831
592,174936,350464,88526,87936
593,175528,351649,95089,94498
594,176121,352836,85255,84663
595,176715,354025,89929,89336
596,177310,355216,91618,91024
597,177906,356409,91774,91179
598,178503,357604,88443,87847
599,179101,358801,90954,90357
600,179700,360000,90330,89732
601,180300,361201,92402,91803
602,180901,362404,91628,91028
603,181503,363609,91191,90590
604,182106,364816,93624,93022
605,182710,366025,93577,92974
606,183315,367236,94515,93911
607,183921,368449,88545,87940
608,184528,369664,93244,92638
609,185136,370881,97146,96539
610,185745,372100,94910,94302
611,186355,373321,100005,99396
612,186966,374544,93066,92456
613,187578,375769,92719,92108
614,188191,376996,92784,92172
615,188805,378225,98338,97725
616,189420,379456,96103,95489
617,190036,380689,96518,95903
618,190653,381924,95574,94958
619,191271,383161,94329,93712
620,191890,384400,97585,96967
621,192510,385641,98035,97416
622,193131,386884,94920,94300
623,193753,388129,97633,97012
624,194376,389376,92234,91612
625,195000,390625,96219,95596
626,195625,391876,97613,96989
627,196251,393129,98837,98212
628,196878,394384,98270,97644
629,197506,395641,95096,94469
630,198135,396900,97831,97203
631,198765,398161,96095,95466
632,199396,399424,103234,102604
633,200028,400689,96516,95885
634,200661,401956,107031,106399
635,201295,403225,104054,103421
636,201930,404496,101335,100701
637,202566,405769,102185,101550
638,203203,407044,99331,98695
639,203841,408321,100073,99436
640,204480,409600,96292,95654
641,205120,410881,103113,102474
642,205761,412164,99369,98729
643,206403,413449,106327,105686
644,207046,414736,101123,100481
645,207690,416025,102429,101786
646,208335,417316,105463,104819
647,208981,418609,105488,104843
648,209628,419904,109594,108948
649,210276,421201,103858,103211
650,210925,422500,106130,105482
651,211575,423801,101833,101184
652,212226,425104,106734,106084
653,212878,426409,106060,105409
654,213531,427716,110616,109964
655,214185,429025,108906,108253
656,214840,430336,106563,105909
657,215496,431649,109334,108679
658,216153,432964,111783,111127
659,216811,434281,106831,106174
660,217470,435600,107753,107095
661,218130,436921,112081,111422
662,218791,438244,106560,105900
663,219453,439569,110013,109352
664,220116,440896,108768,108106
665,220780,442225,112334,111671
666,221445,443556,106158,105494
667,222111,444889,104043,103378
668,222778,446224,113073,112407
669,223446,447561,113404,112737
670,224115,448900,113292,112624
671,224785,450241,112389,111720
672,225456,451584,111105,110435
673,226128,452929,110571,109900
674,226801,454276,110258,109586
675,227475,455625,111611,110938
676,228150,456976,116235,115561
677,228826,458329,117733,117058
678,229503,459684,118827,118151
679,230181,461041,111666,110989
680,230860,462400,115638,114960
681,231540,463761,117411,116732
682,232221,465124,116669,115989
683,232903,466489,122815,122134
684,233586,467856,113018,112336
685,234270,469225,120063,119380
686,234955,470596,114634,113950
687,235641,471969,119375,118690
688,236328,473344,122829,122143
689,237016,474721,118076,117389
690,237705,476100,119194,118506
691,238395,477481,120064,119375
692,239086,478864,121055,120365
693,239778,480249,128528,127837
694,240471,481636,114551,113859
695,241165,483025,125040,124347
696,241860,484416,119306,118612
697,242556,485809,125163,124468
698,243253,487204,125666,124970
699,243951,488601,124808,124111
700,244650,490000,122135,121437
701,245350,491401,128844,128145
702,246051,492804,114922,114222
703,246753,494209,114726,114025
704,247456,495616,122497,121795
705,248160,497025,125412,124709
706,248865,498436,127982,127278
707,249571,499849,126935,126230
708,250278,501264,119744,119038
709,250986,502681,124302,123595
710,251695,504100,129991,129283
711,252405,505521,122829,122120
712,253116,506944,128951,128241
713,253828,508369,127829,127118
714,254541,509796,129394,128682
715,255255,511225,129178,128465
716,255970,512656,131557,130843
717,256686,514089,128634,127919
718,257403,515524,131172,130456
719,258121,516961,126957,126240
720,258840,518400,124884,124166
721,259560,519841,130583,129864
722,260281,521284,130301,129581
723,261003,522729,133286,132565
724,261726,524176,129449,128727
725,262450,525625,130059,129336
726,263175,527076,126770,126046
727,263901,528529,134283,133558
728,264628,529984,140186,139460
729,265356,531441,133704,132977
730,266085,532900,131758,131030
731,266815,534361,134382,133653
732,267546,535824,132931,132201
733,268278,537289,132181,131451
734,269011,538756,137973,137241
735,269745,540225,135035,134302
736,270480,541696,135761,135027
737,271216,543169,132038,131303
738,271953,544644,141876,141140
739,272691,546121,129141,128404
740,273430,547600,142627,141889
741,274170,549081,139071,138332
742,274911,550564,136656,135916
743,275653,552049,144656,143915
744,276396,553536,137376,136634
745,277140,555025,135834,135091
746,277885,556516,141018,140274
747,278631,558009,141849,141104
748,279378,559504,139184,138438
749,280126,561001,143462,142715
750,280875,562500,142529,141781
751,281625,564001,137888,137139
752,282376,565504,143426,142676
753,283128,567009,136016,135265
754,283881,568516,135539,134787
755,284635,570025,146489,145736
756,285390,571536,147360,146606
757,286146,573049,136680,135925
758,286903,574564,143077,142321
759,287661,576081,135816,135059
760,288420,577600,138862,138104
761,289180,579121,147283,146524
762,289941,580644,149843,149083
763,290703,582169,148908,148147
764,291466,583696,143227,142465
765,292230,585225,149391,148628
766,292995,586756,141646,140882
767,293761,588289,142984,142219
768,294528,589824,150378,149612
769,295296,591361,153231,152464
770,296065,592900,144575,143807
771,296835,594441,149348,148579
772,297606,595984,149865,149095
773,298378,597529,147011,146240
774,299151,599076,150563,149791
775,299925,600625,151796,151023
776,300700,602176,143254,142480
777,301476,603729,153908,153133
778,302253,605284,150308,149532
779,303031,606841,150536,149759
780,303810,608400,148434,147656
781,304590,609961,152833,152054
782,305371,611524,148543,147763
783,306153,613089,152760,151979
784,306936,614656,149784,149002
785,307720,616225,152326,151543
786,308505,617796,150113,149329
787,309291,619369,156518,155733
788,310078,620944,160289,159503
789,310866,622521,155217,154430
790,311655,624100,156079,155291
791,312445,625681,165812,165023
792,313236,627264,152497,151707
793,314028,628849,156588,155797
794,314821,630436,162892,162100
795,315615,632025,155868,155075
796,316410,633616,154892,154098
797,317206,635209,160618,159823
798,318003,636804,162197,161401
799,318801,638401,160291,159494
800,319600,640000,155511,154713
801,320400,641601,156457,155658
802,321201,643204,163738,162938
803,322003,644809,158772,157971
804,322806,646416,164629,163827
805,323610,648025,166686,165883
806,324415,649636,163764,162960
807,325221,651249,161240,160435
808,326028,652864,163680,162874
809,326836,654481,162415,161608
810,327645,656100,171117,170309
811,328455,657721,174453,173644
812,329266,659344,162937,162127
813,330078,660969,169300,168489
814,330891,662596,168621,167809
815,331705,664225,171317,170504
816,332520,665856,161321,160507
817,333336,667489,167241,166426
818,334153,669124,167537,166721
819,334971,670761,164585,163768
820,335790,672400,170432,169614
821,336610,674041,164101,163282
822,337431,675684,169087,168267
823,338253,677329,171394,170573
824,339076,678976,164840,164018
825,339900,680625,170394,169571
826,340725,682276,175524,174700
827,341551,683929,173100,172275
828,342378,685584,174890,174064
829,343206,687241,159710,158883
830,344035,688900,175914,175086
831,344865,690561,173012,172183
832,345696,692224,176044,175214
833,346528,693889,175404,174573
834,347361,695556,174140,173308
835,348195,697225,164314,163481
836,349030,698896,173745,172911
837,349866,700569,175403,174568
838,350703,702244,173889,173053
839,351541,703921,180126,179289
840,352380,705600,174612,173774
841,353220,707281,178505,177666
842,354061,708964,168477,167637
843,354903,710649,175304,174463
844,355746,712336,180794,179952
845,356590,714025,180439,179596
846,357435,715716,181075,180231
847,358281,717409,181035,180190
848,359128,719104,187250,186404
849,359976,720801,177391,176544
850,360825,722500,177726,176878
851,361675,724201,180223,179374
852,362526,725904,177203,176353
853,363378,727609,190910,190059
854,364231,729316,183874,183022
855,365085,731025,185938,185085
856,365940,732736,181974,181120
857,366796,734449,173395,172540
858,367653,736164,182080,181224
859,368511,737881,193798,192941
860,369370,739600,185865,185007
861,370230,741321,184542,183683
862,371091,743044,182342,181482
863,371953,744769,187620,186759
864,372816,746496,193914,193052
865,373680,748225,194910,194047
866,374545,749956,185914,185050
867,375411,751689,184431,183566
868,376278,753424,193214,192348
869,377146,755161,192715,191848
870,378015,756900,189004,188136
871,378885,758641,191434,190565
872,379756,760384,189072,188202
873,380628,762129,200026,199155
874,381501,763876,186018,185146
875,382375,765625,190248,189375
876,383250,767376,188583,187709
877,384126,769129,188538,187663
878,385003,770884,192793,191917
879,385881,772641,182051,181174
880,386760,774400,193181,192303
881,387640,776161,198446,197567
882,388521,777924,195619,194739
883,389403,779689,193691,192810
884,390286,781456,193400,192518
885,391170,783225,196755,195872
886,392055,784996,193158,192274
887,392941,786769,193650,192765
888,393828,788544,196615,195729
889,394716,790321,197151,196264
890,395605,792100,200680,199792
891,396495,793881,200663,199774
892,397386,795664,202797,201907
893,398278,797449,198919,198028
894,399171,799236,197240,196348
895,400065,801025,198548,197655
896,400960,802816,205752,204858
897,401856,804609,206372,205477
898,402753,806404,203606,202710
899,403651,808201,203589,202692
900,404550,810000,206154,205256
901,405450,811801,194138,193239
902,406351,813604,207934,207034
903,407253,815409,217605,216704
904,408156,817216,205249,204347
905,409060,819025,207532,206629
906,409965,820836,201137,200233
907,410871,822649,209528,208623
908,411778,824464,208772,207866
909,412686,826281,218962,218055
910,413595,828100,211463,210555
911,414505,829921,211931,211022
912,415416,831744,199760,198850
913,416328,833569,201260,200349
914,417241,835396,204152,203240
915,418155,837225,208026,207113
916,419070,839056,213397,212483
917,419986,840889,205910,204995
918,420903,842724,207823,206907
919,421821,844561,210755,209838
920,422740,846400,209729,208811
921,423660,848241,208546,207627
922,424581,850084,211288,210368
923,425503,851929,206032,205111
924,426426,853776,216697,215775
925,427350,855625,212332,211409
926,428275,857476,216760,215836
927,429201,859329,215622,214697
928,430128,861184,209113,208187
929,431056,863041,213026,212099
930,431985,864900,221442,220514
931,432915,866761,219362,218433
932,433846,868624,213119,212189
933,434778,870489,217499,216568
934,435711,872356,212837,211905
935,436645,874225,209371,208438
936,437580,876096,222694,221760
937,438516,877969,219514,218579
938,439453,879844,207939,207003
939,440391,881721,224557,223620
940,441330,883600,225372,224434
941,442270,885481,215030,214091
942,443211,887364,222317,221377
943,444153,889249,225840,224899
944,445096,891136,215715,214773
945,446040,893025,226643,225700
946,446985,894916,234684,233740
947,447931,896809,215853,214908
948,448878,898704,218929,217983
949,449826,900601,224301,223354
950,450775,902500,223489,222541
951,451725,904401,219480,218531
952,452676,906304,231805,230855
953,453628,908209,216156,215205
954,454581,910116,220793,219841
955,455535,912025,228025,227072
956,456490,913936,226175,225221
957,457446,915849,230873,229918
958,458403,917764,233018,232062
959,459361,919681,226135,225178
960,460320,921600,233292,232334
961,461280,923521,238327,237368
962,462241,925444,231538,230578
963,463203,927369,227213,226252
964,464166,929296,228801,227839
965,465130,931225,229548,228585
966,466095,933156,235750,234786
967,467061,935089,236517,235552
968,468028,937024,233585,232619
969,468996,938961,234328,233361
970,469965,940900,231221,230253
971,470935,942841,223449,222480
972,471906,944784,240214,239244
973,472878,946729,235836,234865
974,473851,948676,238103,237131
975,474825,950625,239144,238171
976,475800,952576,243054,242080
977,476776,954529,236337,235362
978,477753,956484,232183,231207
979,478731,958441,242291,241314
980,479710,960400,236788,235810
981,480690,962361,243998,243019
982,481671,964324,251138,250158
983,482653,966289,237688,236707
984,483636,968256,233773,232791
985,484620,970225,244380,243397
986,485605,972196,240523,239539
987,486591,974169,247820,246835
988,487578,976144,241494,240508
989,488566,978121,239519,238532
990,489555,980100,248417,247429
991,490545,982081,236675,235686
992,491536,984064,248318,247328
993,492528,986049,250282,249291
994,493521,988036,246277,245285
995,494515,990025,250340,249347
996,495510,992016,244851,243857
997,496506,994009,240317,239322
998,497503,996004,250082,249086
999,498501,998001,252403,251406
1000,499500,1000000,242514,241516
