n,(n * (n - 1)) / 2,n * n,comparison,swaps
225,25200,50625,12457,12233
226,25425,51076,12723,12498
227,25651,51529,13417,13191
228,25878,51984,13218,12991
229,26106,52441,13846,13618
230,26335,52900,12822,12593
231,26565,53361,13998,13768
232,26796,53824,13307,13076
233,27028,54289,13681,13449
234,27261,54756,14307,14074
235,27495,55225,13838,13604
236,27730,55696,13457,13222
237,27966,56169,14596,14360
238,28203,56644,13691,13454
239,28441,57121,14396,14158
240,28680,57600,15005,14766
241,28920,58081,14977,14737
242,29161,58564,14746,14505
243,29403,59049,15479,15237
244,29646,59536,14548,14305
245,29890,60025,13799,13555
246,30135,60516,14816,14571
247,30381,61009,15338,15092
248,30628,61504,15871,15624
249,30876,62001,16196,15948
250,31125,62500,15354,15105
251,31375,63001,16377,16127
252,31626,63504,16617,16366
253,31878,64009,16002,15750
254,32131,64516,16466,16213
255,32385,65025,16444,16190
256,32640,65536,16706,16451
257,32896,66049,16797,16541
258,33153,66564,16880,16623
259,33411,67081,16897,16639
260,33670,67600,17488,17229
261,33930,68121,14773,14513
262,34191,68644,16949,16688
263,34453,69169,17698,17436
264,34716,69696,17522,17259
265,34980,70225,18505,18241
266,35245,70756,17652,17387
267,35511,71289,18470,18204
268,35778,71824,17603,17336
269,36046,72361,17815,17547
270,36315,72900,17152,16883
271,36585,73441,17637,17367
272,36856,73984,19446,19175
273,37128,74529,18089,17817
274,37401,75076,19040,18767
275,37675,75625,19844,19570
276,37950,76176,19924,19649
277,38226,76729,19193,18917
278,38503,77284,19404,19127
279,38781,77841,19735,19457
280,39060,78400,19861,19582
281,39340,78961,20210,19930
282,39621,79524,19905,19624
283,39903,80089,19841,19559
284,40186,80656,21039,20756
285,40470,81225,20512,20228
286,40755,81796,20618,20333
287,41041,82369,19499,19213
288,41328,82944,21550,21263
289,41616,83521,22081,21793
290,41905,84100,20861,20572
291,42195,84681,21680,21390
292,42486,85264,22196,21905
293,42778,85849,21295,21003
294,43071,86436,21244,20951
295,43365,87025,23667,23373
296,43660,87616,23328,23033
297,43956,88209,21242,20946
298,44253,88804,22157,21860
299,44551,89401,23516,23218
300,44850,90000,22405,22106
301,45150,90601,24660,24360
302,45451,91204,22515,22214
303,45753,91809,23014,22712
304,46056,92416,21420,21117
305,46360,93025,22249,21945
306,46665,93636,23587,23282
307,46971,94249,23605,23299
308,47278,94864,25871,25564
309,47586,95481,23348,23040
310,47895,96100,23123,22814
311,48205,96721,23676,23366
312,48516,97344,26542,26231
313,48828,97969,25298,24986
314,49141,98596,25251,24938
315,49455,99225,25780,25466
316,49770,99856,25817,25502
317,50086,100489,24407,24091
318,50403,101124,25786,25469
319,50721,101761,26658,26340
320,51040,102400,25238,24919
321,51360,103041,25636,25316
322,51681,103684,26639,26318
323,52003,104329,27416,27094
324,52326,104976,26119,25796
325,52650,105625,26467,26143
326,52975,106276,27866,27541
327,53301,106929,26800,26474
328,53628,107584,25722,25395
329,53956,108241,26726,26398
330,54285,108900,27830,27501
331,54615,109561,27549,27219
332,54946,110224,29021,28690
333,55278,110889,27231,26899
334,55611,111556,26093,25760
335,55945,112225,27805,27471
336,56280,112896,28325,27990
337,56616,113569,27493,27157
338,56953,114244,28371,28034
339,57291,114921,30583,30245
340,57630,115600,30501,30162
341,57970,116281,28967,28627
342,58311,116964,29867,29526
343,58653,117649,31008,30666
344,58996,118336,29908,29565
345,59340,119025,30045,29701
346,59685,119716,30077,29732
347,60031,120409,30697,30351
348,60378,121104,31127,30780
349,60726,121801,32020,31672
350,61075,122500,30191,29842
351,61425,123201,32518,32168
352,61776,123904,31300,30949
353,62128,124609,31106,30754
354,62481,125316,31447,31094
355,62835,126025,31021,30667
356,63190,126736,32033,31678
357,63546,127449,32842,32486
358,63903,128164,32802,32445
359,64261,128881,31819,31461
360,64620,129600,30758,30399
361,64980,130321,33712,33352
362,65341,131044,34725,34364
363,65703,131769,33489,33127
364,66066,132496,33437,33074
365,66430,133225,33135,32771
366,66795,133956,36392,36027
367,67161,134689,32099,31733
368,67528,135424,32963,32596
369,67896,136161,34993,34625
370,68265,136900,33426,33057
371,68635,137641,34075,33705
372,69006,138384,35330,34959
373,69378,139129,34399,34027
374,69751,139876,35398,35025
375,70125,140625,36382,36008
376,70500,141376,33936,33561
377,70876,142129,35769,35393
378,71253,142884,36641,36264
379,71631,143641,37371,36993
380,72010,144400,35410,35031
381,72390,145161,38068,37688
382,72771,145924,34274,33893
383,73153,146689,38355,37973
384,73536,147456,36869,36486
385,73920,148225,36536,36152
386,74305,148996,38604,38219
387,74691,149769,40082,39696
388,75078,150544,38403,38016
389,75466,151321,38539,38151
390,75855,152100,38444,38055
391,76245,152881,38537,38147
392,76636,153664,38936,38545
393,77028,154449,39273,38881
394,77421,155236,37241,36848
395,77815,156025,38302,37908
396,78210,156816,40506,40111
397,78606,157609,40334,39938
398,79003,158404,38872,38475
399,79401,159201,41117,40719
400,79800,160000,37783,37384
401,80200,160801,40597,40197
402,80601,161604,39645,39244
403,81003,162409,41986,41584
404,81406,163216,42336,41933
405,81810,164025,40822,40418
406,82215,164836,40972,40567
407,82621,165649,43278,42872
408,83028,166464,42421,42014
409,83436,167281,42994,42586
410,83845,168100,43567,43158
411,84255,168921,45540,45130
412,84666,169744,43867,43456
413,85078,170569,43902,43490
414,85491,171396,44210,43797
415,85905,172225,42568,42154
416,86320,173056,43273,42858
417,86736,173889,43772,43356
418,87153,174724,46298,45881
419,87571,175561,46510,46092
420,87990,176400,44183,43764
421,88410,177241,43959,43539
422,88831,178084,44070,43649
423,89253,178929,46413,45991
