267,35511,71289,35511,18204
268,35778,71824,35778,17336
269,36046,72361,36046,17547
270,36315,72900,36315,16883
271,36585,73441,36585,17367
272,36856,73984,36856,19175
273,37128,74529,37128,17817
274,37401,75076,37401,18767
275,37675,75625,37675,19570
276,37950,76176,37950,19649
277,38226,76729,38226,18917
278,38503,77284,38503,19127
279,38781,77841,38781,19457
280,39060,78400,39060,19582
281,39340,78961,39340,19930
282,39621,79524,39621,19624
283,39903,80089,39903,19559
284,40186,80656,40186,20756
285,40470,81225,40470,20228
286,40755,81796,40755,20333
287,41041,82369,41041,19213
288,41328,82944,41328,21263
289,41616,83521,41616,21793
290,41905,84100,41905,20572
291,42195,84681,42195,21390
292,42486,85264,42486,21905
293,42778,85849,42778,21003
294,43071,86436,43071,20951
295,43365,87025,43365,23373
296,43660,87616,43660,23033
297,43956,88209,43956,20946
298,44253,88804,44253,21860
299,44551,89401,44551,23218
300,44850,90000,44850,22106
301,45150,90601,45150,24360
302,45451,91204,45451,22214
303,45753,91809,45753,22712
304,46056,92416,46056,21117
305,46360,93025,46360,21945
306,46665,93636,46665,23282
307,46971,94249,46971,23299
308,47278,94864,47278,25564
309,47586,95481,47586,23040
310,47895,96100,47895,22814
311,48205,96721,48205,23366
312,48516,97344,48516,26231
313,48828,97969,48828,24986
314,49141,98596,49141,24938
315,49455,99225,49455,25466
316,49770,99856,49770,25502
317,50086,100489,50086,24091
318,50403,101124,50403,25469
319,50721,101761,50721,26340
320,51040,102400,51040,24919
321,51360,103041,51360,25316
322,51681,103684,51681,26318
323,52003,104329,52003,27094
324,52326,104976,52326,25796
325,52650,105625,52650,26143
326,52975,106276,52975,27541
327,53301,106929,53301,26474
328,53628,107584,53628,25395
329,53956,108241,53956,26398
330,54285,108900,54285,27501
331,54615,109561,54615,27219
332,54946,110224,54946,28690
333,55278,110889,55278,26899
334,55611,111556,55611,25760
335,55945,112225,55945,27471
336,56280,112896,56280,27990
337,56616,113569,56616,27157
338,56953,114244,56953,28034
339,57291,114921,57291,30245
340,57630,115600,57630,30162
341,57970,116281,57970,28627
342,58311,116964,58311,29526
343,58653,117649,58653,30666
344,58996,118336,58996,29565
345,59340,119025,59340,29701
346,59685,119716,59685,29732
347,60031,120409,60031,30351
348,60378,121104,60378,30780
349,60726,121801,60726,31672
350,61075,122500,61075,29842
351,61425,123201,61425,32168
352,61776,123904,61776,30949
353,62128,124609,62128,30754
354,62481,125316,62481,31094
355,62835,126025,62835,30667
356,63190,126736,63190,31678
357,63546,127449,63546,32486
358,63903,128164,63903,32445
359,64261,128881,64261,31461
360,64620,129600,64620,30399
361,64980,130321,64980,33352
362,65341,131044,65341,34364
363,65703,131769,65703,33127
364,66066,132496,66066,33074
365,66430,133225,66430,32771
366,66795,133956,66795,36027
367,67161,134689,67161,31733
368,67528,135424,67528,32596
369,67896,136161,67896,34625
370,68265,136900,68265,33057
371,68635,137641,68635,33705
372,69006,138384,69006,34959
373,69378,139129,69378,34027
374,69751,139876,69751,35025
375,70125,140625,70125,36008
376,70500,141376,70500,33561
377,70876,142129,70876,35393
378,71253,142884,71253,36264
379,71631,143641,71631,36993
380,72010,144400,72010,35031
381,72390,145161,72390,37688
382,72771,145924,72771,33893
383,73153,146689,73153,37973
384,73536,147456,73536,36486
385,73920,148225,73920,36152
386,74305,148996,74305,38219
387,74691,149769,74691,39696
388,75078,150544,75078,38016
389,75466,151321,75466,38151
390,75855,152100,75855,38055
391,76245,152881,76245,38147
392,76636,153664,76636,38545
393,77028,154449,77028,38881
394,77421,155236,77421,36848
395,77815,156025,77815,37908
396,78210,156816,78210,40111
397,78606,157609,78606,39938
398,79003,158404,79003,38475
399,79401,159201,79401,40719
400,79800,160000,79800,37384
401,80200,160801,80200,40197
402,80601,161604,80601,39244
403,81003,162409,81003,41584
404,81406,163216,81406,41933
405,81810,164025,81810,40418
406,82215,164836,82215,40567
407,82621,165649,82621,42872
408,83028,166464,83028,42014
409,83436,167281,83436,42586
410,83845,168100,83845,43158
411,84255,168921,84255,45130
412,84666,169744,84666,43456
413,85078,170569,85078,43490
414,85491,171396,85491,43797
415,85905,172225,85905,42154
416,86320,173056,86320,42858
417,86736,173889,86736,43356
418,87153,174724,87153,45881
419,87571,175561,87571,46092
420,87990,176400,87990,43764
421,88410,177241,88410,43539
422,88831,178084,88831,43649
423,89253,178929,89253,45991
424,89676,179776,89676,45089
425,90100,180625,90100,43587
426,90525,181476,90525,45992
427,90951,182329,90951,44017
428,91378,183184,91378,47174
429,91806,184041,91806,43729
430,92235,184900,92235,44964
431,92665,185761,92665,46629
432,93096,186624,93096,46328
433,93528,187489,93528,49961
434,93961,188356,93961,46728
435,94395,189225,94395,47541
436,94830,190096,94830,46532
437,95266,190969,95266,50406
438,95703,191844,95703,45422
439,96141,192721,96141,52527
440,96580,193600,96580,49496
441,97020,194481,97020,47638
442,97461,195364,97461,46935
443,97903,196249,97903,48194
444,98346,197136,98346,48774
445,98790,198025,98790,47474
446,99235,198916,99235,47280
447,99681,199809,99681,51227
448,100128,200704,100128,51429
449,100576,201601,100576,47585
450,101025,202500,101025,48739
451,101475,203401,101475,52625
452,101926,204304,101926,49468
453,102378,205209,102378,47822
454,102831,206116,102831,51235
455,103285,207025,103285,53435
456,103740,207936,103740,52551
457,104196,208849,104196,52710
458,104653,209764,104653,52725
459,105111,210681,105111,55394
460,105570,211600,105570,51887
461,106030,212521,106030,52243
462,106491,213444,106491,50482
463,106953,214369,106953,50632
464,107416,215296,107416,52557
465,107880,216225,107880,55208
466,108345,217156,108345,53630
467,108811,218089,108811,52920
468,109278,219024,109278,54999
469,109746,219961,109746,54707
470,110215,220900,110215,56850
471,110685,221841,110685,56340
472,111156,222784,111156,56018
473,111628,223729,111628,55188
474,112101,224676,112101,56005
475,112575,225625,112575,57917
476,113050,226576,113050,57867
477,113526,227529,113526,53521
478,114003,228484,114003,55776
479,114481,229441,114481,57760
480,114960,230400,114960,54941
481,115440,231361,115440,59028
482,115921,232324,115921,61077
483,116403,233289,116403,58008
484,116886,234256,116886,58205
485,117370,235225,117370,58189
486,117855,236196,117855,59150
487,118341,237169,118341,59555
488,118828,238144,118828,60888
